"","x"
"1","achim"
"2","kessler"
"3","post"
"4","agnieszka"
"5","brugger"
"6","albert"
"7","rupprecht"
"8","stegemann"
"9","weiler"
"10","albrecht"
"11","glaser"
"12","alexander"
"13","dobrindt"
"14","gauland"
"15","graf"
"16","lambsdorff"
"17","hoffmann"
"18","krauß"
"19","kulitz"
"20","müller"
"21","radwan"
"22","s."
"23","neu"
"24","throm"
"25","ulrich"
"26","alice"
"27","weidel"
"28","alois"
"29","gerig"
"30","karl"
"31","rainer"
"32","amira"
"33","mohamed"
"34","ali"
"35","andré"
"36","berghegger"
"37","hahn"
"38","andrea"
"39","lindholz"
"40","nahles"
"41","andreas"
"42","bleck"
"43","jung"
"44","lämmel"
"45","lenz"
"46","mattfeldt"
"47","mrosek"
"48","nick"
"49","rimkus"
"50","scheuer"
"51","schwarz"
"52","steier"
"53","wagner"
"54","andrej"
"55","hunko"
"56","andrew"
"57","ullmann"
"58","anette"
"59","kramme"
"60","angela"
"61","merkel"
"62","angelika"
"63","glöckner"
"64","anita"
"65","schäfer"
"66","anja"
"67","hajduk"
"68","karliczek"
"69","weisgerber"
"70","anke"
"71","domscheit-berg"
"72","anna"
"73","christmann"
"74","annalena"
"75","baerbock"
"76","annette"
"77","widmann-mauz"
"78","ansgar"
"79","heveling"
"80","antje"
"81","lezius"
"82","tillmann"
"83","anton"
"84","friesen"
"85","hofreiter"
"86","armin"
"87","paul"
"88","hampel"
"89","schuster"
"90","arno"
"91","klare"
"92","arnold"
"93","vaatz"
"94","artur"
"95","auernhammer"
"96","astrid"
"97","damerow"
"98","freudenstein"
"99","grotelüschen"
"100","mannes"
"101","axel"
"102","eduard"
"103","fischer"
"104","gehrke"
"105","knoerig"
"106","aydan"
"107","özoguz"
"108","barbara"
"109","hendricks"
"110","bärbel"
"111","bas"
"112","kofler"
"113","beate"
"114","müller-gemmeke"
"115","walter-rosenheimer"
"116","beatrix"
"117","von"
"118","storch"
"119","benjamin"
"120","strasser"
"121","berengar"
"122","elsner"
"123","gronow"
"124","bernd"
"125","baumann"
"126","buchholz"
"127","reuther"
"128","riexinger"
"129","rützel"
"130","westphal"
"131","bernhard"
"132","daldrup"
"133","loos"
"134","bettina"
"135","hagedorn"
"136","stark-watzinger"
"137","wiesmann"
"138","bijan"
"139","djir-sarai"
"140","birgit"
"141","malsack-winkemann"
"142","birke"
"143","bull-bischoff"
"144","björn"
"145","simon"
"146","brigitte"
"147","freihold"
"148","britta"
"149","dassler"
"150","haßelmann"
"151","bruno"
"152","hollnagel"
"153","burkhard"
"154","lischka"
"155","canan"
"156","bayram"
"157","cansel"
"158","kiziltepe"
"159","caren"
"160","lay"
"161","marks"
"162","carina"
"163","konrad"
"164","carl-julius"
"165","cronenberg"
"166","carola"
"167","reimann"
"168","carsten"
"169","brodesser"
"170","körber"
"171","linnemann"
"172","schneider"
"173","träger"
"174","cem"
"175","özdemir"
"176","charlotte"
"177","schneidewind-hartnagel"
"178","christian"
"179","dürr"
"180","haase"
"181","hirte"
"182","kühn"
"183","lange"
"184","lindner"
"185","petry"
"186","sauter"
"187","schmidt"
"188","stetten"
"189","wirth"
"190","christine"
"191","aschenberg-dugnus"
"192","lambrecht"
"193","christoph"
"194","bernstiel"
"195","de"
"196","vries"
"197","matschie"
"198","meyer"
"199","neumann"
"200","ploß"
"201","claudia"
"202","moll"
"203","roth"
"204","schmidtke"
"205","tausend"
"206","corinna"
"207","miazga"
"208","rüffer"
"209","cornelia"
"210","möhring"
"211","dagmar"
"212","freitag"
"213","ziegler"
"214","daniel"
"215","föst"
"216","daniela"
"217","de"
"218","ridder"
"219","kluckert"
"220","kolbe"
"221","ludwig"
"222","danyal"
"223","bayaz"
"224","dennis"
"225","rohde"
"226","detlef"
"227","seif"
"228","detlev"
"229","pilger"
"230","spangenberg"
"231","dieter"
"232","janecek"
"233","stier"
"234","diether"
"235","dehm"
"236","dietlind"
"237","tiemann"
"238","dietmar"
"239","bartsch"
"240","friedhoff"
"241","nietan"
"242","dietrich"
"243","monstadt"
"244","dirk"
"245","heidenblut"
"246","spaniel"
"247","vöpel"
"248","wiese"
"249","doris"
"250","achelwilm"
"251","barnett"
"252","dorothee"
"253","bär"
"254","eberhard"
"255","brecht"
"256","gienger"
"257","eckhard"
"258","gnodtke"
"259","pols"
"260","eckhardt"
"261","rehberg"
"262","edgar"
"263","franke"
"264","ekin"
"265","deligöz"
"266","elisabeth"
"267","kaiser"
"268","motschmann"
"269","winkelmeier-becker"
"270","elvan"
"271","korkmaz-emre"
"272","emmi"
"273","zeulner"
"274","enak"
"275","ferlemann"
"276","enrico"
"277","komning"
"278","erhard"
"279","grundl"
"280","erich"
"281","irlstorfer"
"282","ernst"
"283","rossmann"
"284","erwin"
"285","rüddel"
"286","esther"
"287","dilcher"
"288","eva-maria"
"289","schreiber"
"290","eva"
"291","högl"
"292","ewald"
"293","schurer"
"294","fabian"
"295","jacobi"
"296","fabio"
"297","masi"
"298","falko"
"299","mohrs"
"300","felix"
"301","schreiner"
"302","filiz"
"303","polat"
"304","florian"
"305","oßner"
"306","pronold"
"307","toncar"
"308","frank"
"309","heinrich"
"310","junge"
"311","magnitz"
"312","müller-rosentritt"
"313","pasemann"
"314","schäffler"
"315","schwabe"
"316","sitta"
"317","steffel"
"318","franziska"
"319","brantner"
"320","gminder"
"321","frauke"
"322","friedrich"
"323","ostendorff"
"324","straetmanns"
"325","frithjof"
"326","fritz"
"327","felgentreu"
